Article ID;Title;Author;Secondary authors;Keywords;title of unpublished reference;primary date;publication year;notes;reprint status;start page number;ending page number;periodical full name;periodical standard abbreviation;periodical in which article was published;periodical name - user abbreviation 1;periodical name - user abbreviation 2;volume number;issue number;title secondary;city of publication;publisher;user definable 1;user definable 5;title series;Abstract;ISSN/ISBN;availability;Misc. 1;Misc. 2;address;Web/URL;link to PDF;link to full-text;related records;images;DOI;rated unclear;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz
1;"Land use scenarios for the development of a carbon-neutral energy supply – A case study from Southern Germany
";"Bosch, S.; Kienmoser, D.";;"Carbon-neutrality; Climate protection; Energy transition; Land use conflicts; Regional planning; Renewable energies; Germany; alternative energy; carbon emission; climate change; land use conflict; power generation; regional planning";;;2024;"Export Date: 01 April 2026; Cited By: 8; Correspondence Address: S. Bosch; Department of Human Geography, University of Augsburg, Augsburg, Alter Postweg 118, 86159, Germany; email: stephan.bosch@geo.uni-augsburg.de
";;;;;;;;"Land Use Policy
";142;;"Land Use Policy
";;"Elsevier Ltd
";;;;"The Paris Agreement determined to limit global warming to below two degrees. National governments are now confronted with the challenge of taking action for climate protection. For Germany, this poses a major challenge, as the imminent phaseout of low-emission nuclear energy additionally increases the pressure to quickly advance the deployment of renewable energies. At the same time, their low energy density and the resulting high land requirements lead to severe conflicts in land use. The situation is aggravated by the fact that the diversity of societal actors leads to a diversity of energy strategies, which differ in terms of impacts on land use. We therefore want to analyse the impending restructuration of energy supply and the associated land use conflicts. We model potential scenarios of energy landscapes that can be derived from the two-degree target on the basis of Geographic Information Systems, by modifying the political guidelines and planning laws for the deployment of renewable energies. The analyses show that carbon-neutrality is attainable in principle. However, the spatial patterns of renewable energies differ considerably depending on the given legal framework. It also comes to show that land use policy must take greater account of the perspectives of those social groups that are confronted with the installation of renewable energies in the immediate vicinity of their own living environment. © 2024 The Authors
";"02648377 (ISSN)
";;;"Article
";"Department of Human Geography, University of Augsburg, Alter Postweg 118, Augsburg, 86159, Germany
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190336097&doi=10.1016%2Fj.landusepol.2024.107159&partnerID=40&md5=ff3ff2dd503d7ff41148a709c360e959
";;;;;10.1016/j.landusepol.2024.107159;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"The path to 2060: Saudi Arabia's long-term pathway for GHG emission reduction
";"Kamboj, P.; Hejazi, M.; Qiu, Y.; Kyle, P.; Iyer, G.";;"Climate change; GCAM-KSA; GHG emissions; Net zero; Saudi Arabia; Scenario analysis; Carbon capture and utilization; Greenhouse gas emissions; Climate policy; Comprehensive analysis; Emission reduction; GCAM-KSA; GHG emission; GHGs emissions; Greenhouse gas emissions; Net zero; Saudi Arabia; Scenarios analysis; Low emission";;;2024;"Export Date: 01 April 2026; Cited By: 23; Correspondence Address: P. Kamboj; King Abdullah Petroleum Studies and Research Center (KAPSARC), Riyadh, Saudi Arabia; email: puneet.kamboj@kapsarc.org
";;;;;;;;"Energy Strateg. Rev.
";55;;"Energy Strategy Reviews
";;"Elsevier Ltd
";;;;"Saudi Arabia, as part of its Saudi Green Initiative, has announced its goal to achieve net zero green-house gas emissions by 2060. This ambitious target underscores the nation's dedication to addressing climate change. However, there is a significant gap in comprehensive analysis regarding the long-term effects of Saudi Arabia's climate policies and their collective contribution towards the net-zero objective. This study endeavors to bridge this gap through a detailed examination using the GCAM-KSA, a specialized version of the Global Change Analysis Model tailored for Saudi Arabia, employing a multi-sectoral methodology that integrates economic, energy, and land use systems within a coherent framework to assess the impact of climate policies on GHG emissions. Our analysis reveals that reaching net-zero GHG emissions by 2060 is a complex challenge requiring concerted efforts across all sectors of the economy. While transitioning to low-carbon electricity and improving energy efficiency offer considerable emission reductions, fully decarbonizing the industrial and transportation sectors poses a significant hurdle. Our findings suggest that Saudi Arabia must triple its emission reduction commitments in its next Nationally Determined Contributions (NDCs) update to align with its 2060 net-zero goal. Early action and increased ambition could avoid the chances of getting locked into the high emission assets and give enough time to transform the energy system. Furthermore, the adoption and integration of Carbon Dioxide Removal (CDR) technologies are identified as crucial for offsetting residual emissions, especially in sectors that might continue to rely on fossil fuels. © 2024 The Authors
";"2211467X (ISSN)
";;;"Article
";"Pacific Northwest National Laboratory, College Park, MD, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204299766&doi=10.1016%2Fj.esr.2024.101537&partnerID=40&md5=f2c52153aa3e7f7c436a36c624bfde4e
";;;;;10.1016/j.esr.2024.101537;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"The role of hydrogen in a net-zero emission economy under alternative policy scenarios
";"Kouchaki-Penchah, H.; Bahn, O.; Bashiri, H.; Bedard, S.; Bernier, E.; Elliot, T.; Hammache, A.; Vaillancourt, K.; Levasseur, A.";;"Energy system decarbonization; Hydrogen; Net-zero emission; TIMES model; Aquifers; Decarbonization; Economic and social effects; Forestry; Fossil fuels; Free energy; Greenhouse gases; Hydrogen fuels; Hydrogen storage; Hydrogenation; Hydrogeology; Industrial emissions; Solar power generation; Air captures; Decarbonisation; Energy system decarbonization; Energy systems; Energy transitions; Hydrogen pathway; Net-zero emission; Policy scenario; TIMES model; Zero emission; Carbon dioxide";;;2024;"Export Date: 01 April 2026; Cited By: 83; Correspondence Address: H. Kouchaki-Penchah; École de technologie supérieure, Department of Construction Engineering, Montreal, 1100 Notre-Dame St. West, H3C 1K3, Canada; email: hamed.kouchaki-penchah.1@ens.etsmtl.ca; CODEN: IJHED
";;173;187;;;;;"Int J Hydrogen Energy
";49;;"International Journal of Hydrogen Energy
";;"Elsevier Ltd
";;;;"Low emission and green hydrogen as a carbon-free energy carrier has attracted worldwide attention in decarbonizing the energy system and meeting the Paris agreement target of limiting warming to 2 °C or below. This study investigates the contribution of different hydrogen pathways to the energy transition and sheds light on adopting different decarbonization scenarios for Quebec, Canada, while including biogenic emissions from forest-based biomass consumption. We assess various alternative policy scenarios using a TIMES model for North America (NATEM), a bottom-up techno-economic approach. This study examines the role of various hydrogen pathways in Quebec's energy transition by considering different net-zero policy scenarios and an additional set of “green” scenarios, which prohibit the use of fossil fuel-based hydrogen. The results show that varying the penetration of hydrogen provides a key trade-off between reliance on direct air capture, reliance on carbon storage, reliance on wind and solar buildout, the inter-sector allocation of residual emissions, and the overall cost of achieving emission targets. In particular, the use of hydrogen in the industrial sector, a sector known to be difficult to decarbonize, reduces industrial emissions and reliance on direct air capture (DAC). Clustering industrial plants to use captured CO2 as a feedstock for synthetic fuel production may not reduce industrial GHG emissions by 2050, but it offers the opportunity to use captured CO2 instead of sequestering it in deep saline aquifers. Even though increasing industrial green hydrogen penetration increases marginal GHG abatement costs in the green net-zero scenario by 2050, it further minimizes industrial GHG emissions and the need for DAC among all net-zero scenarios by 2050. Hydrogen plays a significant role in achieving ambitious net-zero emission target, especially where electrification is not feasible, or electricitystorage is required. © 2023
";"03603199 (ISSN)
";;;"Article
";"ESMIA Consultants, Blainville, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167815390&doi=10.1016%2Fj.ijhydene.2023.07.196&partnerID=40&md5=4fa6d841ed6430740a0de77aef1d9af3
";;;;;10.1016/j.ijhydene.2023.07.196;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Fine-grained prediction of solar-wind deployment unlocks China's 2060 pathways to carbon neutrality and lower energy costs
";"Guo, J.; Wang, R.; Zhang, L.; Wang, S.; Li, L.; Du, M.; Zhong, F.; Zhang, C.; Li, Y.; Zheng, Y.; Liu, X.; Lu, X.; Wang, J.";;"China; India; Saudi Arabia; South Africa; Carbon Economy; Climate change; Costs; Economic and social effects; Economics; Energy economics; Energy policy; Solar energy; Solar wind; Carbon neutralities; Economic benefits; Energy cost; Fine-grained predictions; Global transitions; Lower energies; New energies; Renewable energies; Solar installation; Solar/wind; alternative energy; carbon dioxide; climate change; spatiotemporal analysis; Carbon dioxide";;;2025;"Export Date: 01 April 2026; Cited By: 5; Correspondence Address: L. Zhang; School of the Environment and Safety Engineering, Jiangsu University, Zhenjiang, 212013, China; email: zhangli_1122@outlook.com; M. Du; School of Political Science & Public Administration, Wuhan University, Wuhan, 430072, China; email: mengbingdu@whu.edu.cn
";;8142;8160;;;;;"Energy Environ. Sci.
";18;17;"Energy and Environmental Science
";;"Royal Society of Chemistry
";;;;"The global transition from fossil fuels to renewable energy is vital for mitigating climate change, yet plans to transition China are generally coarsely resolved. This study introduces the China New Energy Database, offering the first 10-km resolution feasibility ranking for wind and solar installations across China. By incorporating land-use regulations and construction constraints, we present an optimized development pathway from 2022 to 2060. Our results highlight substantial climate and economic benefits of renewable energy deployment, with wind and solar energy reducing up to 16.9 billion tons of carbon dioxide emissions and generating 12.8 trillion CNY economic benefits by 2060. Regions with abundant renewable resources show significant potential for economic gains, demonstrating that reasonable strategic deployment could effectively “turn resources into gold”. These insights serve as a valuable reference for countries like India, Saudi Arabia, and South Africa in their transition to renewable energy, contributing to global progress in sustainable energy systems. © 2025 The Royal Society of Chemistry.
";"17545692 (ISSN)
";;;"Article
";"Institute for Carbon Neutrality, Tsinghua University, Beijing, 100084, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014284498&doi=10.1039%2Fd5ee01853f&partnerID=40&md5=183bb482faa53176332ac66d9b535be2
";;;;;10.1039/d5ee01853f;Yes;;;Disagree. I think it is unclear what they exactly do. I would include the paper in the further review to judge the full text in particular in terms of climate neutrality pathways;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Disagree. I think it is unclear what they do.;;;;;;;;;;;;;;;;;
15;"Exploring net-zero emissions pathways for Africa across different timelines: an integrated assessment modeling
";"Dioha, M.O.; Ampah, J.D.; Odarno, L.";;"Africa; carbon dioxide removal; climate mitigation pathways; energy-land-water systems; integrated assessment modeling; et-zero emissions; Africa; Carbon dioxide; Carbon emissions; Climate models; Costs; Crops; Global warming; Land use; Sustainable development; Africa; Carbon dioxide removal; Climate mitigation pathway; Climate mitigations; Energy; Energy-land-water system; Integrated assessment models; Net-zero emission; Water system; Zero emission; carbon dioxide; emission control; environmental policy; fossil fuel; integrated approach; sustainable development; trade-off; water demand; water use; Economic and social effects";;;2025;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: M.O. Dioha; Energy and Climate Innovation in Africa Program, Boston, Clean Air Task Force, 02109, United States; email: michael@dioha.us
";;;;;;;;"Environ.Res.Lett.
";20;10;"Environmental Research Letters 
";;"Institute of Physics
";;;;"Understanding how net-zero emissions timelines affect sustainable development is essential for climate planning in Africa. We apply the Global Change Analysis Model to explore the continent’s energy-land-water systems under four scenarios: a business-as-usual (BAU) and three net-zero scenarios targeting 2050 (NZ50), 2070 (NZ70), and 2100 (NZ100). Our analysis quantifies how the pace of decarbonization influences Africa’s interconnected energy, land, and water systems. Without new climate policy (BAU), Africa’s net CO2 emissions could increase by nearly six-fold; from 1.8 GtCO2 yr−1 in 2020 to 10.4 GtCO2 yr−1 by 2100. All net-zero scenarios constrain this growth, with NZ50, NZ70, and NZ100 achieving net-zero emissions by their respective target years through deployment of multiple carbon dioxide removal approaches (e.g. BECCS). Across all scenarios, primary energy supply expands, but its composition shifts under net-zero conditions. Over 2020-2100, renewables account for an average of 49%-53% of primary energy in the net-zero cases, displacing fossil fuels. Net-zero pathways also drive land-use shifts, reducing cropland area by 29%-31% and lowering water demand for food crops by 14%-15%, while increasing water use for BECCS (∼0.9 km3 yr−1 in NZ50). These land constraints raise staple food prices, averaging $1.16 kg−1 in NZ50—about 96% above BAU—with the steepest increase in Western Africa. In terms of mitigation cost, NZ50 is the most expensive pathway ($78 tCO2−1), compared to $68 tCO2−1 in NZ100. While earlier action enables deeper emissions cuts and faster clean energy transitions, it also imposes higher economic and resource trade-offs. Delayed net-zero deadlines reduce near-term disruption but result in higher cumulative emissions. Given Africa’s development context, we argue that net-zero timelines must balance technical feasibility with economic realities and social justice. © 2025 The Author(s). Published by IOP Publishing Ltd.
";"17489326 (ISSN)
";;;"Article
";"State Key Laboratory of Engines, School of Mechanical Engineering, Tianjin University, Tianjin, 300072, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015443817&doi=10.1088%2F1748-9326%2Fae0053&partnerID=40&md5=08aaec4d83ad1a4c67581eda331b2b37
";;;;;10.1088/1748-9326/ae0053;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;"Deploying direct air capture at scale: How close to reality?
";"Desport, L.; Gurgel, A.; Morris, J.; Herzog, H.; Chen, Y.-H.H.; Selosse, S.; Paltsev, S.";;"Climate policy; Direct air capture; Integrated assessment model; Negative emissions; Net-zero emission; Africa; Carbon capture; Climate models; Commerce; Cost benefit analysis; Cost estimating; Fuel storage; Air captures; Bioenergies with carbon capture and storages; Carbon storage; Climate policy; Direct air capture; Integrated assessment models; Negative emission; Net-zero emission; NO emissions; Zero emission; alternative energy; bioenergy; carbon sequestration; emission control; environmental policy; Land use";;;2024;"Export Date: 01 April 2026; Cited By: 20; Correspondence Address: L. Desport; Mines Paris - PSL, CMA - Centre for Applied Mathematics, Sophia Antipolis, Rue Claude Daunesse, 06904, France; email: lucas.desport@minesparis.psl.eu; CODEN: EECOD
";;;;;;;;"Energy Econ.
";129;;"Energy Economics
";;"Elsevier B.V.
";;;;"The role of negative emissions in achieving deep decarbonization targets has been demonstrated through Integrated Assessment Models (IAMs). While many studies have focused on bioenergy with carbon capture and storage (BECCS), relatively little attention has been given to direct air capture (DAC) in IAMs beyond assessing the role of low-cost DAC with carbon storage (DACCS). In this study, we employ an economy-wide model to more fully explore the potential role of DAC, considering the full range of cost estimates ($180–$1000/tCO2), DAC units supplied by either dedicated renewables or grid electricity, and both the storage of captured CO2 (DACCS) or its utilization (DACCU) to produce fuels. Our results show that the deployment of DAC is driven by its cost and is dominated by DACCS, with little deployment of DACCU. We analyze the technical and policy conditions making DACCS compete with BECCS, investigating scenarios in which BECCS is limited and there is no emissions trading across countries. With an international emissions trading system (ETS), we find that Africa takes advantage of its large and cheap renewable potential to export emissions permits and contributes more than half of total global negative emissions through DAC. However, DAC also proves essential when no ETS is available, particularly in Asian countries due to scarce and expensive access to land and bioenergy. Our analysis provides a comprehensive evaluation of the impact of DAC on the power system, economy, and land use. © 2023 Elsevier B.V.
";"01409883 (ISSN)
";;;"Article
";"Massachusetts Institute of Technology, Cambridge, 02139, MA, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179757877&doi=10.1016%2Fj.eneco.2023.107244&partnerID=40&md5=c6d6e851ad1753eeb5c30484109b77d7
";;;;;10.1016/j.eneco.2023.107244;Yes;;;disagree. I checked the paper, they use a CGE to model global climate neutrality goals.;;"Ok. However, the focus of the paper is on DAC and how it can contribute to deep decarbonization. Regarding the climate neutral scenario it relates to a global scale: ""With an assumption that DAC is commercially available from 2030, we use an illustrative scenario targeting net-zero anthropogenic GHG emissions by 2070 in all regions of the world (see regional emission permits allowances in Appendix D).""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;"Life cycle assessment of Iran energy portfolio: Renewable energy replacement approach
";"Saedi, A.H.; Ahmadi, A.";;"assessment of Iran's energy portfolio (electricity mix); energy demand prediction; environmental assessment of energy systems; Iran's energy perspective; LCA of energy; zero-carbon energy portfolio; Carbon; Energy management; Environmental impact; Population statistics; Recycling; Wind power; Assessment of iran energy portfolio (electricity mix); Carbon energy; Electricity mixes; Energy; Energy demand prediction; Energy perspectives; Energy portfolio; Energy systems; Environmental assessment; Environmental assessment of energy system; Iran energy perspective; LCA of energy; Zero carbons; Zero-carbon energy portfolio; Life cycle";;;2023;"Export Date: 01 April 2026; Cited By: 15; Correspondence Address: A. Ahmadi; Department of Energy Systems Engineering, School of New Technologies, Iran University of Science & Technology, Tehran, Iran; email: a_ahmadi@iust.ac.ir
";;1798;1817;;;;;"Energy Sci. Eng.
";11;5;"Energy Science and Engineering
";;"John Wiley and Sons Ltd
";;;;"Nowadays, due to the increasing energy demand in different industry, agriculture, and household sectors, great importance is attached to energy portfolio and generation/consumption in macrolevel planning. A viable approach to power generation planning is the environmental assessment of the power generation process. This study employs life cycle assessment based on Eco-Indicator 99 methodology which analyzes midpoint and endpoint impacts. Energy impact evaluation is based on Eco-invent database from resource harvesting to recycling. The study aims to assess Iran's energy production/consumption portfolio, but technical construction, operation, and recycling are not discussed. The study focuses on energy demand and energy generation resources in Iran, under three energy portfolio scenarios: (1) a basic scenario is a real energy portfolio for Iran's 2018-power demand, (2) Iran's 2050-energy portfolio with maximum accessible renewable energy capacity, and (3) Iran's 2050-energy portfolio with zero-carbon emission to evaluate the final consequences of life cycle. The York model is used to estimate energy demand in 2050. The Green-X model is used to evaluate the relationship between the impacts and economic growth. Iran's energy portfolio has a low emission, compared with the global portfolio with a 36%-coal application. Among Iran's portfolios, the most adventitious scenario is in 2018, followed by the 2050 portfolio with population growth and 50% increase in energy demand, and the zero-carbon scenario with 64% of energy portfolio based on solar and wind energy technologies. Compared with the 2018 scenario, in the second and third scenarios, the environmental effects are decreased by 40% and 52%, respectively, indicating the significance of renewable energy in reducing the environmental consequences. © 2023 The Authors. Energy Science & Engineering published by Society of Chemical Industry and John Wiley & Sons Ltd.
";"20500505 (ISSN)
";;;"Article
";"Department of Energy Systems Engineering, School of New Technologies, Iran University of Science & Technology, Tehran, Iran
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148647608&doi=10.1002%2Fese3.1422&partnerID=40&md5=4102ddca29eb873131ed40910952eae5
";;;;;10.1002/ese3.1422;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"Impact of Biogenic Carbon Neutrality Assumption for Achieving a Net-Zero Emission Target: Insights from a Techno-Economic Analysis
";"Kouchaki-Penchah, H.; Bahn, O.; Vaillancourt, K.; Moreau, L.; Thiffault, E.; Levasseur, A.";;"biogenic carbon; energy system decarbonization; Negative emissions technologies; terrestrial sequestration; TIMES model; Biomass; Carbon Dioxide; Carbon Sequestration; Forests; Fossil Fuels; Biomass; Budget control; Carbon capture; Carbon dioxide; Decarbonization; Decision making; Economic analysis; Fossil fuels; carbon; carbon dioxide; fossil fuel; Biased decision makings; Biogenic carbon; Biogenics; Decarbonisation; Emission technology; Energy system decarbonization; Energy systems; Negative emission technology; Terrestrial sequestration; TIMES model; bioenergy; biogenic emission; carbon budget; carbon dioxide; decision making; economic analysis; forest cover; forest management; fossil fuel; technical efficiency; Article; bioenergy with carbon capture and storage; carbon dioxide emission; carbon neutrality; decision making; energy yield; forest; forest management; greenhouse gas emission; renewable energy; biomass; carbon sequestration; forest; Forestry";;;2023;"Export Date: 01 April 2026; Cited By: 17; Correspondence Address: H. Kouchaki-Penchah; Department of Construction Engineering, École de Technologie Supérieure, Montreal, 1100 Notre-Dame St. West, H3C 1K3, Canada; email: hamedkouchakip@gmail.com; CODEN: ESTHA
";;10615;10628;;;;;"Environ. Sci. Technol.
";57;29;"Environmental Science and Technology
";;"American Chemical Society
";;;;"Global pathways limiting warming to 2 °C or below require deep carbon dioxide removal through a large-scale transformation of the land surface, an increase in forest cover, and the deployment of negative emission technologies (NETs). Government initiatives endorse bioenergy as an alternative, carbon-neutral energy source for fossil fuels. However, this carbon neutral assumption is increasingly being questioned, with several studies indicating that it may result in accounting errors and biased decision-making. To address this growing issue, we use a carbon budget model combined with an energy system model. We show that including forest sequestration in the energy system model alleviates the decarbonization effort. We discuss how a forest management strategy with a high sequestration capacity reduces the need for expensive negative emission technologies. This study indicates the necessity of establishing the most promising forest management strategy before investing in bioenergy with carbon capture and storage. Finally, we describe how a carbon neutrality assumption may lead to biased decision-making because it allows the model to use more biomass without being constrained by biogenic CO2 emissions. The risk of biased decision-making is higher for regions that have lower forest coverage, since available forest sequestration cannot sink biogenic emissions in the short term, and importing bioenergy could worsen the situation. © 2023 American Chemical Society.
";"0013936X (ISSN)
";;;"Article
";"Département des sciences du bois et de la forêt, Université Laval, Québec, G1V 0A6, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165714285&doi=10.1021%2Facs.est.3c00644&partnerID=40&md5=2c242b63c5fbfa0dbe6ca2a50cbeaee0
";;;;;10.1021/acs.est.3c00644;Yes;;;disagree. I checked the full paper, a climate neutrality scenarios is included. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disagree. I checked the full paper, a climate neutrality scenarios is included and modeled.;;;;;;;;;;;;;;;;;
27;"Contributions of a mitigation measure portfolio to directing Chinese crop-livestock production system towards net-zero emissions
";"Yang, W.; Zhang, W.; Xing, J.; Zheng, Y.; Yabar, H.; Song, J.";;"Bioenergy with carbon capture; Crop-livestock production system; GHG emissions; Hard-to-abate emissions; Mitigation measures; Carbon capture and utilization; Carbon sequestration; Direct air capture; Greenhouse gas emissions; Bio-energy; Bioenergy with carbon capture; Crop-livestock production system; Greenhouse gas emissions; Hard-to-abate emission; Livestock production; Manure management; Mitigation measures; Production system; Zero emission; Low emission";;;2025;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: W. Yang; Changchun, C128 Tang Aoqing Bldg., 2699 Qianjin St., 130012, China; email: yangwea@jlu.edu.cn; J. Song; Changchun, C440 Tang Aoqing Bldg., 2699 Qianjin St., 130012, China; email: songjunnian@jlu.edu.cn
";;112;127;;;;;"Sustain. Prod. Consum.
";56;;"Sustainable Production and Consumption
";;"Elsevier B.V.
";;;;"Agriculture contributes over 50% of greenhouse gas (GHG) emissions within the food system and plays a key role in reaching the climate target. How and to what extent agriculture can reduce GHG emissions, and whether it can achieve net-zero emissions, remain to be further uncovered. Applying a life cycle and scenario analysis approach with the functional units defined as unit crop cultivated area and one head of livestock, we assess the residual emissions of the integrated crop-livestock production system in China after implementing a portfolio of mitigation measures. The results show that the life cycle net GHG emissions in the integrated system is 1142.19 Million tons (Mt) of carbon dioxide equivalent (CO2-eq). In scenario 3, the combined measures targeting straw utilization achieve the greatest reduction of 270.42 Mt CO2-eq, followed by measures implemented for manure management at 206.30 Mt CO2-eq. The net residual emissions significantly drop to 241.35 Mt CO2-eq, resulting from the net negative emissions achieved through bioenergy production with CO2 capture (−398.30 Mt CO2-eq), alongside emissions from energy and material production, and energy use (297.17 Mt CO2-eq), as well as hard-to-abate direct emissions (342.47 Mt CO2-eq) from enteric fermentation, manure management, and rice cultivation. Achieving further emission reductions, even net-zero and negative emissions in Chinese crop-livestock production system will strongly depend on transitioning to low-carbon energy system and expanding agricultural waste-to-energy utilization combined with CO2 capture. © 2025 Institution of Chemical Engineers
";"23525509 (ISSN)
";;;"Article
";"of Science and Technology, University of Tsukuba, Tsukuba, 3058572, Japan
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001245905&doi=10.1016%2Fj.spc.2025.03.012&partnerID=40&md5=e3578efc9cddd66e097bddd0659220f8
";;;;;10.1016/j.spc.2025.03.012;No;;;"disagree. checked the paper, it has a deep decarbonization pathway. 
as a sidenote: highly relevant for cross-sec";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"disagree. checked the paper, it has a deep decarbonization pathway (although not net-zero).  they use a sceanrio approach.. 
as a sidenote: highly relevant for cross-sec";;;;;;;;;;;;;;;;;
