doi,q1_climate_neutrality,q1_comment,q2_region,q2_comment,q3_sector,q3_comment,q4_method,q4_comment
"10.1016/j.landusepol.2024.107159
",yes,,yes,,yes,,yes,
"10.1016/j.esd.2025.101855
",no,,yes,,yes,,no,
"10.1016/j.jenvman.2024.121827
",no,,no,,yes,,yes,
"10.1038/s41598-025-94201-z
",no,,yes,,yes,,no,
"10.1016/j.esr.2024.101537
",yes,,yes,,yes,,yes,
"10.1016/j.apenergy.2023.122212
",no,,yes,,yes,,yes,
"10.1021/acs.iecr.3c02405
",no,,yes,,yes,,yes,
"10.14719/pst.9043
",unclear,"The study mentions India's net zero 2070 goal and recommends interventions, but the framework primarily classifies states for policy prioritization rather than modeling or assessing an actual climate-neutral pathway.",yes,,yes,,yes,
"10.5846/stxb202108082170
",no,,yes,,yes,,yes,
"10.1016/j.ijhydene.2023.07.196
",yes,,yes,,yes,,yes,
"10.1111/gcbb.13128
",no,,yes,,yes,,yes,
"10.31497/zrzyxb.20230308
",no,,yes,,yes,,yes,
"10.1039/d5ee01853f
",no,,yes,,yes,,yes,
"10.13227/j.hjkx.202408170
",no,,yes,,yes,,yes,
"10.1088/1748-9326/ae0053
",yes,,yes,,yes,,yes,
"10.1039/d4se01183j
",yes,,yes,,yes,,yes,
"10.1016/j.eneco.2023.107244
",yes,,yes,,yes,,yes,
"10.1002/ese3.1422
",yes,,yes,,yes,,yes,
"10.3969/j.issn.1000-6532.2022.02.002
",unclear,The paper proposes countermeasures toward carbon neutrality in mining areas but does not appear to model or assess an actual climate-neutral pathway; it is more of a qualitative policy discussion.,yes,,yes,,no,
"10.1007/s13593-023-00938-0
",yes,,yes,,yes,,no,
"10.1016/j.scitotenv.2023.168781
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2025.147363
",yes,,yes,,yes,,yes,
"10.13254/j.jare.2024.0498
",unclear,The abstract discusses contributing to carbon neutrality goals in China's agricultural sector but does not present a specific assessed or modeled pathway that is itself climate-neutral.,yes,,yes,,no,
"10.1111/gcbb.70017
",no,,yes,,yes,,yes,
"10.1007/978-3-032-09844-3_6
",yes,,yes,,yes,,yes,
"10.1021/acs.est.3c00644
",yes,,no,,yes,,yes,
"10.1016/j.spc.2025.03.012
",no,,yes,,yes,,yes,
"10.1016/j.eiar.2024.107689
",unclear,"The abstract references a 'carbon neutrality framework' and 'carbon neutrality potential' as metrics, but does not model or assess an actual climate-neutral pathway or system configuration.",yes,,yes,,yes,
"10.3390/buildings15071096
",no,,yes,,yes,,yes,
